days,strain,filename
0,Stra8,GSM1314516_Stra8-cre_Total_time_0-1.CEL.gz
0,Stra8,GSM1314517_Stra8-cre_Total_time0-2.CEL.gz
0,Stra8,GSM1314518_Stra8-cre_Total_time_0-3.CEL.gz
0,Stra8,GSM1314519_Stra8-cre_Total_Time_0-4.CEL.gz
0.17,Stra8,GSM1314522_Stra8-cre_Total_4h_RA1.CEL.gz
0.17,Stra8,GSM1314523_Stra8-cre_Total_4h_RA2.CEL.gz
0.17,Stra8,GSM1314524_Stra8-cre_Total_4h_RA3.CEL.gz
0.5,Stra8,GSM1314527_Stra8-cre_Total_12h_RA1.CEL.gz
0.5,Stra8,GSM1314528_Stra8-cre_Total_12h_RA2.CEL.gz
1,Stra8,GSM1314531_Stra8-cre_Total_24h_RA1.CEL.gz
1,Stra8,GSM1314532_Stra8-cre_Total_24h_RA2.CEL.gz
1,Stra8,GSM1314533_Stra8-cre_Total_24h_RA3.CEL.gz
1,Stra8,GSM1314534_Stra8-cre_Total_24h_RA4.CEL.gz
2,Stra8,GSM1314537_Stra8-cre_Total_48h_RA1.CEL.gz
2,Stra8,GSM1314538_Stra8-cre_Total_48h_RA2.CEL.gz
2,Stra8,GSM1314539_Stra8-cre_Total_48h_RA3.CEL.gz
2,Stra8,GSM1314540_Stra8-cre_Total_48h_RA4.CEL.gz
4,Stra8,GSM1314543_Stra8-cre_4day_total_RA1.CEL.gz
4,Stra8,GSM1314544_Stra8-cre_4day_total_RA3.CEL.gz
6,Stra8,GSM1314547_Stra8-cre_total_6day_RA1.CEL.gz
6,Stra8,GSM1314548_Stra8-cre_Total_6day_RA2.CEL.gz
8,Stra8,GSM1314551_Stra8-cre_Total_RA1_8_day.CEL.gz
8,Stra8,GSM1314552_Stra8-cre_Total_RA2_8day.CEL.gz
0,Amh,GSM1314555_Amh-creInput1Time0-1.CEL.gz
0,Amh,GSM1314556_Amh-creInput1Time0-2.CEL.gz
0.5,Amh,GSM1314563_Amh-cre-Total12h-RA1.CEL.gz
0.5,Amh,GSM1314564_Amh-cre-Total12h-RA2.CEL.gz
1,Amh,GSM1314567_Amh-creInputRA1-24hr.CEL.gz
1,Amh,GSM1314568_Amh-creInputRA2-24hr.CEL.gz
2,Amh,GSM1314571_Amh-48_total_RA1.CEL.gz
2,Amh,GSM1314572_Amh-48_total_RA2.CEL.gz
4,Amh,GSM1314575_Amh-Total-4Day-RA1.CEL.gz
4,Amh,GSM1314576_Amh-Total-4Day-RA2.CEL.gz
6,Amh,GSM1314579_Amh-cre-6d-Total-RA3.CEL.gz
6,Amh,GSM1314580_Amh-cre-6d-Total-RA4.CEL.gz
8,Amh,GSM1314583_Amh8day-tot-RA2.CEL.gz
8,Amh,GSM1314584_Amh8day-tot-RA3.CEL.gz
0,Ngn3,GSM1314587_Ngn3-cre_Total_time-0-1.CEL.gz
0,Ngn3,GSM1314588_Ngn3-cre_Total_time-0-2.CEL.gz
0.17,Ngn3,GSM1314591_Ngn3-cre_Total_4h-RA-1.CEL.gz
0.17,Ngn3,GSM1314592_Ngn3-cre_Total_4h-RA-2.CEL.gz
